,Median Rent 2016,Tract Number,Neighborhood,Location
0,900.0,212305,Koreatown,"(34.056107, -118.298204)"
1,1391.0,101110,Tujunga,"(34.2595555, -118.293602)"
2,1924.0,101122,Tujunga,"(34.267357, -118.29024)"
3,1141.0,101210,Tujunga,"(34.251998, -118.2926875)"
4,1123.0,101220,Tujunga,"(34.2511895, -118.281014)"
5,2131.0,101300,Tujunga,"(34.2455945, -118.271731)"
6,1190.0,101400,Tujunga,"(34.244255, -118.296428)"
7,2095.0,102103,Shadow Hills,"(34.224155, -118.354339)"
8,2552.0,102104,Shadow Hills,"(34.216189, -118.3456235)"
9,1328.0,102105,Sun Valley,"(34.210852, -118.3480495)"
10,1163.0,102107,Shadow Hills,"(34.2412955, -118.3292705)"
11,1484.0,103101,Sunland,"(34.274431, -118.30714)"
12,1509.0,103102,Sunland,"(34.262834, -118.30683)"
13,954.0,103200,Lake View Terrace,"(34.2745565, -118.3439025)"
14,2136.0,103300,Shadow Hills,"(34.255439, -118.3527775)"
15,1452.0,103400,Sunland,"(34.253933, -118.3147245)"
16,1392.0,104103,Lake View Terrace,"(34.2819045, -118.3918905)"
17,766.0,104105,Pacoima,"(34.276146, -118.404645)"
18,1298.0,104108,Pacoima,"(34.271671, -118.397614)"
19,1490.0,104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)"
20,1935.0,104201,Pacoima,"(34.2867415, -118.4160805)"
21,1239.0,104203,Pacoima,"(34.279058, -118.411554)"
22,1078.0,104204,Lake View Terrace,"(34.2886315, -118.396898)"
23,1514.0,104310,Pacoima,"(34.2762555, -118.4293915)"
24,1000.0,104320,Pacoima,"(34.27316, -118.4202235)"
25,1675.0,104401,Pacoima,"(34.2670615, -118.433071)"
26,1518.0,104403,Pacoima,"(34.2589085, -118.4345385)"
27,1356.0,104404,Pacoima,"(34.2639205, -118.4286915)"
28,1304.0,104500,Pacoima,"(34.25551, -118.4257485)"
29,1423.0,104610,Pacoima,"(34.2604335, -118.4189955)"
30,1255.0,104620,Pacoima,"(34.2579045, -118.422465)"
31,894.0,104701,Pacoima,"(34.268476, -118.4152165)"
32,1350.0,104703,Pacoima,"(34.2551165, -118.399872)"
33,1362.0,104704,Pacoima,"(34.2625155, -118.4088415)"
34,1607.0,104810,Pacoima,"(34.2502955, -118.411179)"
35,1352.0,104821,Pacoima,"(34.2465705, -118.416294)"
36,1349.0,104822,Pacoima,"(34.245882, -118.4209225)"
37,1615.0,106010,Sylmar,"(34.3231715, -118.444538)"
38,1508.0,106020,Sylmar,"(34.320427, -118.428524)"
39,2285.0,106111,Sylmar,"(34.3231945, -118.4087995)"
40,1850.0,106112,Sylmar,"(34.305005, -118.414298)"
41,1500.0,106113,Sylmar,"(34.3062, -118.42203)"
42,1239.0,106114,Sylmar,"(34.302675, -118.426951)"
43,1875.0,106403,Sylmar,"(34.306005, -118.441288)"
44,1263.0,106405,Sylmar,"(34.3146865, -118.448309)"
45,1733.0,106406,Sylmar,"(34.321542, -118.4587415)"
46,1302.0,106407,Sylmar,"(34.3105765, -118.4365505)"
47,1213.0,106408,Sylmar,"(34.3132585, -118.440082)"
48,1592.0,106510,Sylmar,"(34.3236325, -118.4860245)"
49,1818.0,106520,Sylmar,"(34.308856, -118.4613605)"
50,2731.0,106603,Granada Hills,"(34.3189225, -118.5218285)"
51,1339.0,106604,Sylmar,"(34.3042795, -118.474247)"
52,2481.0,106641,Granada Hills,"(34.298025, -118.509153)"
53,2981.0,106642,Granada Hills,"(34.2863475, -118.5084525)"
54,1967.0,106643,Granada Hills,"(34.289784, -118.524711)"
55,2566.0,106645,Granada Hills,"(34.2905125, -118.4928915)"
56,2250.0,106646,Granada Hills,"(34.2790905, -118.4941245)"
57,975.0,106648,Sylmar,"(34.293406, -118.4556035)"
58,1766.0,106649,Sylmar,"(34.288747, -118.4611105)"
59,1604.0,107010,Sylmar,"(34.302027, -118.446501)"
60,1618.0,107020,Sylmar,"(34.2975345, -118.4503905)"
61,3500.0,108101,Porter Ranch,"(34.280038, -118.5413715)"
62,2361.0,108102,Porter Ranch,"(34.280795, -118.55492)"
63,2284.0,108103,Porter Ranch,"(34.2860705, -118.542893)"
64,3196.0,108104,Porter Ranch,"(34.2939525, -118.5470515)"
65,2835.0,108201,Porter Ranch,"(34.2857885, -118.562083)"
66,1913.0,108202,Chatsworth,"(34.288396, -118.581814)"
67,1365.0,109100,Mission Hills,"(34.278731, -118.4610295)"
68,1913.0,109200,Granada Hills,"(34.2786785, -118.474608)"
69,2371.0,109300,Granada Hills,"(34.272521, -118.479515)"
70,1581.0,109400,Mission Hills,"(34.269881, -118.4552825)"
71,1423.0,109500,San Fernando,"(34.274036, -118.4444575)"
72,1952.0,109601,Mission Hills,"(34.2582765, -118.450367)"
73,1142.0,109603,Mission Hills,"(34.2536515, -118.465415)"
74,1409.0,109604,Mission Hills,"(34.2615535, -118.465347)"
75,2107.0,109700,Granada Hills,"(34.263394, -118.4810215)"
76,1665.0,109800,North Hills,"(34.2537535, -118.481817)"
77,1900.0,111100,Granada Hills,"(34.2683575, -118.4946735)"
78,2076.0,111201,Granada Hills,"(34.275029, -118.50855)"
79,1581.0,111202,Granada Hills,"(34.2683485, -118.5151565)"
80,3229.0,111204,Porter Ranch,"(34.2620495, -118.5490485)"
81,2181.0,111205,Northridge,"(34.253636, -118.5358265)"
82,1344.0,111206,Porter Ranch,"(34.2676425, -118.5361955)"
83,1405.0,111301,Granada Hills,"(34.2610855, -118.5158815)"
84,1429.0,111302,Northridge,"(34.2539425, -118.512829)"
85,1173.0,111400,Granada Hills,"(34.257483, -118.495412)"
86,2790.0,113101,Chatsworth,"(34.265338, -118.5882575)"
87,3315.0,113102,Chatsworth,"(34.265325, -118.568068)"
88,2244.0,113211,Chatsworth,"(34.2635755, -118.611966)"
89,1767.0,113212,Chatsworth,"(34.2608605, -118.6035245)"
90,1475.0,113213,Chatsworth,"(34.2535965, -118.608218)"
91,1455.0,113231,Chatsworth Reservoir,"(34.2282065, -118.645614)"
92,1932.0,113232,West Hills,"(34.227417, -118.61402)"
93,1187.0,113233,Canoga Park,"(34.2275575, -118.6017175)"
94,1180.0,113234,Canoga Park,"(34.227624, -118.59227)"
95,1695.0,113235,Chatsworth,"(34.2373915, -118.6488335)"
96,1674.0,113237,Chatsworth,"(34.2451855, -118.6125745)"
97,2198.0,113301,Northridge,"(34.2448005, -118.5590895)"
98,1063.0,113303,Chatsworth,"(34.2420235, -118.5801645)"
99,1353.0,113321,Chatsworth,"(34.25361, -118.5913535)"
100,1854.0,113322,Chatsworth,"(34.253622, -118.571362)"
101,1346.0,113401,Winnetka,"(34.2279845, -118.562301)"
102,1423.0,113421,Winnetka,"(34.234694, -118.5826685)"
103,1173.0,113422,Winnetka,"(34.224085, -118.5821745)"
104,1888.0,115101,Northridge,"(34.239435, -118.5112365)"
105,1731.0,115103,Northridge,"(34.246414, -118.528551)"
106,1395.0,115104,Northridge,"(34.2395005, -118.523595)"
107,1423.0,115201,Northridge,"(34.244559, -118.537408)"
108,1244.0,115202,Northridge,"(34.2338575, -118.537507)"
109,1814.0,115301,Northridge,"(34.240482, -118.545339)"
110,1289.0,115302,Northridge,"(34.226401, -118.5498615)"
111,1232.0,115401,Northridge,"(34.2247565, -118.5149735)"
112,1150.0,115403,Northridge,"(34.22481, -118.5317135)"
113,1461.0,115404,Northridge,"(34.2257645, -118.5412445)"
114,1210.0,117101,North Hills,"(34.2391215, -118.4617905)"
115,1577.0,117102,North Hills,"(34.2463715, -118.4596495)"
116,1107.0,117201,North Hills,"(34.242798, -118.470143)"
117,2594.0,117202,North Hills,"(34.242857, -118.478624)"
118,2631.0,117301,North Hills,"(34.242917, -118.4905265)"
119,1760.0,117302,Northridge,"(34.235472, -118.49709)"
120,1593.0,117404,North Hills,"(34.228481, -118.479066)"
121,1143.0,117405,North Hills,"(34.2337315, -118.4702305)"
122,1111.0,117407,North Hills,"(34.2300885, -118.470266)"
123,978.0,117408,North Hills,"(34.2248485, -118.4703675)"
124,1193.0,117510,North Hills,"(34.2336865, -118.462625)"
125,1107.0,117520,North Hills,"(34.230017, -118.4631875)"
126,1137.0,117530,North Hills,"(34.224845, -118.4634755)"
127,2118.0,119001,Arleta,"(34.232289, -118.4180405)"
128,1363.0,119002,Arleta,"(34.245902, -118.428032)"
129,1309.0,119201,Arleta,"(34.246411, -118.441015)"
130,1477.0,119202,Arleta,"(34.2559555, -118.442705)"
131,923.0,119310,Panorama City,"(34.246626, -118.450697)"
132,1452.0,119320,Panorama City,"(34.239058, -118.453982)"
133,1042.0,119340,Panorama City,"(34.2336085, -118.4518995)"
134,1122.0,119341,Panorama City,"(34.237627, -118.4453355)"
135,1427.0,119342,Panorama City,"(34.240834, -118.4468745)"
136,1848.0,119400,Arleta,"(34.2399345, -118.4355265)"
137,1684.0,119700,Panorama City,"(34.219334, -118.4266115)"
138,1654.0,119800,Arleta,"(34.2337665, -118.429943)"
139,1633.0,119900,Panorama City,"(34.227376, -118.441236)"
140,1400.0,120010,Panorama City,"(34.2175015, -118.4629745)"
141,1034.0,120020,Panorama City,"(34.2166115, -118.4541405)"
142,965.0,120030,Panorama City,"(34.2149315, -118.451986)"
143,1140.0,120103,Panorama City,"(34.229161, -118.4516205)"
144,1156.0,120104,Panorama City,"(34.224796, -118.4484845)"
145,965.0,120105,Panorama City,"(34.2300875, -118.444443)"
146,1028.0,120106,Panorama City,"(34.223101, -118.4567005)"
147,1070.0,120107,Panorama City,"(34.2264195, -118.4566575)"
148,1098.0,120108,Panorama City,"(34.231779, -118.4563995)"
149,1030.0,120300,Panorama City,"(34.214918, -118.439841)"
150,1125.0,120400,Panorama City,"(34.2178505, -118.4330175)"
151,1423.0,121010,Sun Valley,"(34.224559, -118.402591)"
152,1243.0,121020,Sun Valley,"(34.2110805, -118.402468)"
153,1107.0,121101,Sun Valley,"(34.225737, -118.3655)"
154,1230.0,121102,Sun Valley,"(34.2403885, -118.3845615)"
155,791.0,121210,Pacoima,"(34.2400435, -118.404715)"
156,1210.0,121221,Sun Valley,"(34.227323, -118.396127)"
157,1270.0,121222,Sun Valley,"(34.2330185, -118.391909)"
158,1529.0,121600,Sun Valley,"(34.211448, -118.409348)"
159,1187.0,121801,Sun Valley,"(34.21209, -118.3921495)"
160,1581.0,121802,Sun Valley,"(34.219592, -118.39214)"
161,1007.0,121900,Sun Valley,"(34.2176405, -118.3816355)"
162,1829.0,122000,Sun Valley,"(34.2171585, -118.4183795)"
163,1343.0,122120,Sun Valley,"(34.21116, -118.371144)"
164,1060.0,122121,Sun Valley,"(34.2138845, -118.3714175)"
165,1109.0,122122,Sun Valley,"(34.220949, -118.3717735)"
166,1268.0,122200,Sun Valley,"(34.214391, -118.3596165)"
167,1000.0,122410,Sun Valley,"(34.204063, -118.3921485)"
168,1115.0,122420,Sun Valley,"(34.203194, -118.3834125)"
169,1193.0,123010,Sun Valley,"(34.202326, -118.374682)"
170,1249.0,123020,Sun Valley,"(34.2048255, -118.366247)"
171,1144.0,123103,North Hollywood,"(34.1906295, -118.365029)"
172,1117.0,123104,North Hollywood,"(34.183057, -118.364585)"
173,1004.0,123203,North Hollywood,"(34.195833, -118.392147)"
174,1139.0,123204,North Hollywood,"(34.193936, -118.39433)"
175,1095.0,123205,North Hollywood,"(34.194979, -118.383413)"
176,1096.0,123206,North Hollywood,"(34.1941185, -118.3746795)"
177,1247.0,123301,North Hollywood,"(34.199392, -118.401141)"
178,1214.0,123303,Valley Glen,"(34.1975515, -118.411425)"
179,1134.0,123304,Valley Glen,"(34.19712, -118.4056305)"
180,1151.0,123410,Valley Glen,"(34.197565, -118.4224435)"
181,1177.0,123420,Valley Glen,"(34.1939335, -118.418128)"
182,1086.0,123510,Valley Glen,"(34.195752, -118.4268885)"
183,1181.0,123520,Valley Glen,"(34.190302, -118.4244185)"
184,1288.0,123601,Valley Glen,"(34.177484, -118.417834)"
185,1229.0,123602,Valley Glen,"(34.1794765, -118.42688)"
186,1269.0,123700,Valley Glen,"(34.184859, -118.409517)"
187,1263.0,123800,Valley Glen,"(34.181224, -118.400846)"
188,1299.0,123901,North Hollywood,"(34.1848585, -118.394806)"
189,1460.0,123902,North Hollywood,"(34.176766, -118.3921365)"
190,1443.0,124000,Valley Village,"(34.162959, -118.4048165)"
191,1147.0,124102,North Hollywood,"(34.175783, -118.383398)"
192,1097.0,124103,North Hollywood,"(34.1884915, -118.3834125)"
193,1074.0,124104,North Hollywood,"(34.1848615, -118.383409)"
194,1135.0,124105,North Hollywood,"(34.181229, -118.383405)"
195,1297.0,124201,North Hollywood,"(34.1848665, -118.374674)"
196,1259.0,124203,North Hollywood,"(34.177602, -118.3746645)"
197,1143.0,124204,North Hollywood,"(34.1739735, -118.3746565)"
198,1068.0,124300,North Hollywood,"(34.175793, -118.36403)"
199,1204.0,124400,Valley Glen,"(34.1738495, -118.409707)"
200,1463.0,124500,Valley Glen,"(34.1741095, -118.4246955)"
201,1450.0,124600,Sherman Oaks,"(34.161935, -118.4268715)"
202,1545.0,124700,Sherman Oaks,"(34.162466912294278, -118.41386449999408)"
203,1224.0,124902,Valley Village,"(34.170222, -118.4008735)"
204,1363.0,124903,Valley Village,"(34.1666115, -118.4008715)"
205,1271.0,125100,Valley Village,"(34.1648815, -118.39212)"
206,1264.0,125200,Valley Village,"(34.1648915, -118.383369)"
207,1266.0,125310,North Hollywood,"(34.1685345, -118.3668635)"
208,1458.0,125320,North Hollywood,"(34.1667075, -118.3702555)"
209,1390.0,125401,North Hollywood,"(34.1612765, -118.374603)"
210,1524.0,125402,North Hollywood,"(34.1568065, -118.3734175)"
211,1265.0,125501,North Hollywood,"(34.1621865, -118.365879)"
212,1459.0,125502,Toluca Lake,"(34.1564755, -118.3658595)"
213,1413.0,125600,Toluca Lake,"(34.1588915, -118.355607)"
214,1178.0,127102,Van Nuys,"(34.206446, -118.4443775)"
215,1047.0,127103,Van Nuys,"(34.2046925, -118.42898)"
216,1213.0,127104,Van Nuys,"(34.2056005, -118.4356785)"
217,1124.0,127210,Van Nuys,"(34.2080785, -118.45744)"
218,1070.0,127220,Van Nuys,"(34.2047635, -118.4531115)"
219,1063.0,127300,Van Nuys,"(34.2087545, -118.4697515)"
220,1126.0,127400,Van Nuys,"(34.211219, -118.4794785)"
221,982.0,127520,Van Nuys,"(34.2182555, -118.469623)"
222,1181.0,127603,Van Nuys,"(34.19575, -118.479983)"
223,1104.0,127604,Van Nuys,"(34.199296, -118.479612)"
224,1250.0,127605,Van Nuys,"(34.1902705, -118.485831)"
225,1167.0,127606,Van Nuys,"(34.190276, -118.4777465)"
226,1151.0,127711,Van Nuys,"(34.1871595, -118.4701935)"
227,1077.0,127712,Van Nuys,"(34.197487, -118.4701995)"
228,1050.0,127803,Van Nuys,"(34.197557, -118.4530895)"
229,1106.0,127804,Van Nuys,"(34.197493, -118.461823)"
230,1051.0,127805,Van Nuys,"(34.192108, -118.457452)"
231,1001.0,127806,Van Nuys,"(34.1886615, -118.457449)"
232,1155.0,127910,Van Nuys,"(34.197562, -118.444372)"
233,1175.0,127920,Van Nuys,"(34.197565, -118.435622)"
234,1160.0,128101,Valley Glen,"(34.1902995, -118.4356175)"
235,1163.0,128102,Van Nuys,"(34.190296, -118.444351)"
236,1160.0,128210,Van Nuys,"(34.183584, -118.4443465)"
