TRACT,ZIP,LA_TRACT
06037101110,91042,101110
06037101122,91042,101122
06037101210,91042,101210
06037101210,91043,101210
06037101220,91042,101220
06037101300,91042,101300
06037101300,91214,101300
06037101400,91042,101400
06037101400,91040,101400
06037102103,91352,102103
06037102104,91504,102104
06037102104,91352,102104
06037102105,91352,102105
06037102105,91505,102105
06037102105,91504,102105
06037102107,91352,102107
06037102107,91040,102107
06037103101,91040,103101
06037103101,91042,103101
06037103102,91042,103102
06037103102,91040,103102
06037103200,91041,103200
06037103200,91342,103200
06037103200,91040,103200
06037103300,91352,103300
06037103300,91040,103300
06037103400,91040,103400
06037103400,91042,103400
06037104103,91342,104103
06037104105,91331,104105
06037104105,91342,104105
06037104108,91342,104108
06037104108,91331,104108
06037104124,91342,104124
06037104201,91331,104201
06037104201,91340,104201
06037104201,91342,104201
06037104203,91331,104203
06037104204,91342,104204
06037104204,91331,104204
06037104310,91331,104310
06037104310,91340,104310
06037104320,91331,104320
06037104401,91331,104401
06037104403,91331,104403
06037104404,91333,104404
06037104404,91331,104404
06037104500,91331,104500
06037104610,91331,104610
06037104620,91331,104620
06037104701,91331,104701
06037104703,91352,104703
06037104703,91331,104703
06037104704,91331,104704
06037104810,91331,104810
06037104821,91331,104821
06037104822,91331,104822
06037106010,91342,106010
06037106020,91342,106020
06037106111,91342,106111
06037106112,91342,106112
06037106113,91342,106113
06037106114,91340,106114
06037106114,91392,106114
06037106114,91342,106114
06037106403,91340,106403
06037106403,91342,106403
06037106405,91342,106405
06037106406,91342,106406
06037106407,91342,106407
06037106408,91342,106408
06037106510,91342,106510
06037106520,91342,106520
06037106603,91344,106603
06037106603,91342,106603
06037106604,91342,106604
06037106641,91344,106641
06037106642,91344,106642
06037106643,91344,106643
06037106645,91344,106645
06037106646,91344,106646
06037106648,91342,106648
06037106648,91340,106648
06037106649,91342,106649
06037106649,91340,106649
06037107010,91342,107010
06037107020,91342,107020
06037107020,91340,107020
06037108101,91326,108101
06037108102,91327,108102
06037108102,91326,108102
06037108103,91326,108103
06037108104,91326,108104
06037108201,91326,108201
06037108202,91326,108202
06037108202,91311,108202
06037109100,91345,109100
06037109200,91344,109200
06037109300,91344,109300
06037109400,91346,109400
06037109400,91345,109400
06037109500,91340,109500
06037109601,91331,109601
06037109601,91345,109601
06037109603,91345,109603
06037109603,91395,109603
06037109604,91345,109604
06037109700,91345,109700
06037109700,91344,109700
06037109800,91344,109800
06037109800,91343,109800
06037111100,91344,111100
06037111201,91344,111201
06037111202,91344,111202
06037111204,91326,111204
06037111204,91324,111204
06037111205,91325,111205
06037111205,91324,111205
06037111206,91325,111206
06037111206,91324,111206
06037111206,91326,111206
06037111206,91344,111206
06037111301,91325,111301
06037111301,91326,111301
06037111301,91394,111301
06037111301,91344,111301
06037111302,91325,111302
06037111400,91343,111400
06037111400,91344,111400
06037111400,91325,111400
06037113101,91311,113101
06037113102,91311,113102
06037113102,91326,113102
06037113211,93063,113211
06037113211,91311,113211
06037113212,91311,113212
06037113213,91311,113213
06037113213,91313,113213
06037113231,91304,113231
06037113232,91304,113232
06037113232,91311,113232
06037113233,91304,113233
06037113233,91311,113233
06037113234,91306,113234
06037113234,91304,113234
06037113234,91311,113234
06037113235,91311,113235
06037113235,91304,113235
06037113237,91311,113237
06037113301,91311,113301
06037113301,91324,113301
06037113303,91324,113303
06037113303,91311,113303
06037113321,91311,113321
06037113322,91311,113322
06037113322,91324,113322
06037113401,91324,113401
06037113401,91306,113401
06037113421,91311,113421
06037113421,91306,113421
06037113421,91304,113421
06037113422,91304,113422
06037113422,91306,113422
06037115101,91343,115101
06037115101,91325,115101
06037115103,91325,115103
06037115103,91330,115103
06037115104,91325,115104
06037115201,91330,115201
06037115201,91324,115201
06037115201,91325,115201
06037115201,91328,115201
06037115202,91324,115202
06037115202,91325,115202
06037115301,91324,115301
06037115302,91324,115302
06037115401,91325,115401
06037115403,91325,115403
06037115403,91324,115403
06037115404,91324,115404
06037117101,91402,117101
06037117101,91343,117101
06037117102,91345,117102
06037117102,91402,117102
06037117102,91343,117102
06037117201,91343,117201
06037117201,91345,117201
06037117202,91343,117202
06037117301,91343,117301
06037117302,91325,117302
06037117302,91343,117302
06037117302,91329,117302
06037117303,91343,117303
06037117404,91343,117404
06037117405,91343,117405
06037117407,91343,117407
06037117408,91343,117408
06037117510,91343,117510
06037117520,91393,117520
06037117520,91343,117520
06037117530,91343,117530
06037117530,91402,117530
06037119001,91331,119001
06037119002,91331,119002
06037119002,91334,119002
06037119201,91331,119201
06037119202,91331,119202
06037119310,91402,119310
06037119310,91345,119310
06037119310,91331,119310
06037119320,91402,119320
06037119340,91402,119340
06037119341,91331,119341
06037119341,91402,119341
06037119342,91331,119342
06037119342,91402,119342
06037119400,91331,119400
06037119700,91402,119700
06037119700,91331,119700
06037119800,91331,119800
06037119900,91402,119900
06037119900,91331,119900
06037120010,91402,120010
06037120020,91402,120020
06037120030,91402,120030
06037120103,91402,120103
06037120104,91402,120104
06037120104,91412,120104
06037120105,91402,120105
06037120105,91331,120105
06037120106,91402,120106
06037120107,91402,120107
06037120108,91402,120108
06037120300,91402,120300
06037120400,91402,120400
06037120400,91331,120400
06037121010,91605,121010
06037121010,91352,121010
06037121020,91605,121020
06037121101,91352,121101
06037121102,91352,121102
06037121210,91331,121210
06037121210,91352,121210
06037121221,91352,121221
06037121222,91352,121222
06037121600,91605,121600
06037121801,91605,121801
06037121802,91605,121802
06037121802,91352,121802
06037121900,91605,121900
06037121900,91352,121900
06037122000,91352,122000
06037122000,91605,122000
06037122000,91331,122000
06037122120,91352,122120
06037122120,91605,122120
06037122121,91605,122121
06037122121,91352,122121
06037122122,91352,122122
06037122122,91353,122122
06037122200,91352,122200
06037122200,91505,122200
06037122410,91605,122410
06037122420,91605,122420
06037123010,91605,123010
06037123010,91352,123010
06037123020,91352,123020
06037123103,91505,123103
06037123103,91605,123103
06037123103,91606,123103
06037123104,91606,123104
06037123203,91615,123203
06037123203,91606,123203
06037123203,91605,123203
06037123204,91605,123204
06037123204,91606,123204
06037123205,91606,123205
06037123205,91605,123205
06037123206,91605,123206
06037123206,91606,123206
06037123301,91605,123301
06037123301,91606,123301
06037123303,91605,123303
06037123303,91606,123303
06037123304,91605,123304
06037123304,91606,123304
06037123410,91605,123410
06037123420,91606,123420
06037123420,91605,123420
06037123510,91401,123510
06037123510,91405,123510
06037123520,91401,123520
06037123601,91606,123601
06037123601,91401,123601
06037123602,91401,123602
06037123700,91606,123700
06037123800,91606,123800
06037123800,91607,123800
