ZIP,Median Rent 2016
90001,1026.56
90002,1063.87
90003,1065.03
90004,1239.13
90005,1139.79
90006,974.52
90007,1078.91
90008,1161.42
90010,1183.93
90011,987.5
90012,1219.0
90013,1208.71
90014,1195.4
90015,1018.62
90016,1165.81
90017,1018.85
90018,1051.78
90019,1285.38
90020,1244.59
90021,1059.25
90022,1014.7
90023,1077.74
90024,1986.69
90025,1817.21
90026,1189.71
90027,1315.25
90028,1278.84
90029,1116.35
90030,941.0
90031,1110.47
90032,1124.29
90033,953.71
90034,1606.5
90035,1864.43
90036,1787.15
90037,1084.81
90038,1189.44
90039,1441.83
90040,1072.91
90041,1446.83
90042,1299.0
90043,1094.15
90044,1012.59
90045,1701.0
90046,1764.45
90047,1114.64
90048,1793.55
90049,2314.61
90050,1315.0
90051,941.0
90052,1078.0
90053,1313.0
90054,941.0
90055,2023.0
90056,1567.29
90057,953.21
90058,1041.27
90059,1083.22
90060,941.0
90061,1095.65
90062,1054.92
90063,1021.24
90064,1865.2
90065,1200.11
90066,1673.46
90067,2081.33
90068,1576.33
90069,1847.14
90070,1643.0
90071,1214.5
90072,983.0
90073,1325.0
90074,2023.0
90075,1124.0
90076,1124.0
90077,2400.6
90078,1197.0
90079,2178.0
90081,2023.0
90082,945.0
90083,1775.0
90084,2023.0
90086,941.0
90087,941.0
90089,1598.67
90090,719.0
90091,997.0
90093,1197.0
90094,2504.0
90201,1118.88
90202,1115.0
90209,2236.0
90210,2403.5
90211,1908.0
90212,2114.17
90213,2236.0
90220,1162.77
90221,1139.21
90222,1137.07
90223,1067.0
90224,1149.0
90230,1612.31
90231,1785.0
90232,1521.0
90239,1163.0
90240,1446.0
90241,1334.64
90242,1257.18
90245,1844.6
90247,1122.33
90248,1213.74
90249,1226.36
90250,1220.74
90251,975.0
90254,1964.62
90255,1005.22
90260,1480.0
90261,2670.0
90262,1108.93
90263,2408.0
90264,3202.0
90265,2499.62
90266,2256.78
90267,2311.0
90270,986.6
90272,2738.71
90274,2819.64
90275,2549.67
90277,1894.67
90278,1819.08
90280,1065.34
90290,2770.0
90291,1886.36
90292,2178.29
90293,1909.75
90294,1805.0
90295,2575.0
90296,2111.0
90301,1113.18
90302,1274.0
90303,1151.77
90304,1086.42
90305,1295.33
90306,986.0
90307,986.0
90308,986.0
90309,986.0
90310,1318.0
90401,1594.17
90402,2045.14
90403,1811.0
90404,1514.88
90405,1655.25
90406,1878.0
90408,1714.0
90409,1674.0
90501,1491.58
90502,1326.4
90503,1878.17
90504,1454.25
90505,1856.14
90506,1484.0
90507,1198.0
90508,1198.0
90510,2544.0
90601,1441.79
90602,1209.71
90603,1650.0
90604,1422.64
90605,1362.73
90606,1393.55
90607,1371.0
90608,994.0
90609,1752.0
90623,2722.0
90630,1721.0
90631,2244.67
90637,1809.0
90638,1536.23
90639,1429.0
90640,1205.5
90650,1406.1
90651,588.0
90652,1237.0
90660,1352.67
90662,1131.0
90670,1303.0
90701,1896.17
90702,1438.0
90703,2007.39
90704,870.0
90706,1216.32
90707,1027.0
90710,1182.9
90711,1849.0
90712,1603.62
90713,1815.5
90714,1849.0
90715,1408.6
90716,1287.4
90717,1346.07
90723,1194.64
90731,1313.05
90732,1751.58
90733,1046.0
90734,1298.0
90744,1037.12
90745,1396.58
90746,1492.0
90747,1415.0
90748,1012.0
90749,1378.0
90755,1347.83
90801,903.0
90802,1136.5
90803,1469.5
90804,1330.18
90805,1167.44
90806,1074.11
90807,1309.89
90808,1817.2
90809,1416.0
90810,1215.71
90813,968.32
90814,1363.67
90815,1785.92
90831,1875.0
90832,1875.0
90833,1875.0
90834,1875.0
90835,1875.0
90840,2231.0
90844,1875.0
90846,2377.0
90853,1475.0
90895,1385.0
91001,1473.5
91003,1663.0
91006,1529.79
91007,1315.09
91008,1778.0
91009,1266.0
91010,1579.75
91011,2132.4
91012,2343.0
91016,1520.36
91017,1288.0
91020,1673.75
91021,1428.0
91024,1815.25
91025,1480.0
91030,1697.5
91031,1478.0
91040,1492.25
91041,954.0
91042,1539.5
91043,1141.0
91046,1412.0
91066,1489.0
91077,1422.0
91101,1467.11
91102,1178.0
91103,1582.5
91104,1300.36
91105,2174.5
91106,1758.56
91107,1608.57
91108,2458.0
91109,1178.0
91114,1232.0
91115,2439.0
91116,1632.0
91117,2263.0
91118,3500.0
91121,2263.0
91123,2439.0
91124,1427.0
91125,1535.0
91126,1535.0
91129,2439.0
91182,1728.0
91184,2439.0
91185,1269.0
91188,1427.0
91189,1922.0
91199,1427.0
91201,1820.75
91202,1694.44
91203,1342.5
91204,1294.3
91205,1250.71
