Median Rent 2016,Tract Number,Neighborhood,Location
900,212305,Koreatown,"(34.056107, -118.298204)"
1391,101110,Tujunga,"(34.2595555, -118.293602)"
1924,101122,Tujunga,"(34.267357, -118.29024)"
1141,101210,Tujunga,"(34.251998, -118.2926875)"
1123,101220,Tujunga,"(34.2511895, -118.281014)"
2131,101300,Tujunga,"(34.2455945, -118.271731)"
1190,101400,Tujunga,"(34.244255, -118.296428)"
2095,102103,Shadow Hills,"(34.224155, -118.354339)"
2552,102104,Shadow Hills,"(34.216189, -118.3456235)"
1328,102105,Sun Valley,"(34.210852, -118.3480495)"
1163,102107,Shadow Hills,"(34.2412955, -118.3292705)"
1484,103101,Sunland,"(34.274431, -118.30714)"
1509,103102,Sunland,"(34.262834, -118.30683)"
954,103200,Lake View Terrace,"(34.2745565, -118.3439025)"
2136,103300,Shadow Hills,"(34.255439, -118.3527775)"
1452,103400,Sunland,"(34.253933, -118.3147245)"
1392,104103,Lake View Terrace,"(34.2819045, -118.3918905)"
766,104105,Pacoima,"(34.276146, -118.404645)"
1298,104108,Pacoima,"(34.271671, -118.397614)"
1490,104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)"
1935,104201,Pacoima,"(34.2867415, -118.4160805)"
1239,104203,Pacoima,"(34.279058, -118.411554)"
1078,104204,Lake View Terrace,"(34.2886315, -118.396898)"
1514,104310,Pacoima,"(34.2762555, -118.4293915)"
1000,104320,Pacoima,"(34.27316, -118.4202235)"
1675,104401,Pacoima,"(34.2670615, -118.433071)"
1518,104403,Pacoima,"(34.2589085, -118.4345385)"
1356,104404,Pacoima,"(34.2639205, -118.4286915)"
1304,104500,Pacoima,"(34.25551, -118.4257485)"
1423,104610,Pacoima,"(34.2604335, -118.4189955)"
1255,104620,Pacoima,"(34.2579045, -118.422465)"
894,104701,Pacoima,"(34.268476, -118.4152165)"
1350,104703,Pacoima,"(34.2551165, -118.399872)"
1362,104704,Pacoima,"(34.2625155, -118.4088415)"
1607,104810,Pacoima,"(34.2502955, -118.411179)"
1352,104821,Pacoima,"(34.2465705, -118.416294)"
1349,104822,Pacoima,"(34.245882, -118.4209225)"
1615,106010,Sylmar,"(34.3231715, -118.444538)"
1508,106020,Sylmar,"(34.320427, -118.428524)"
2285,106111,Sylmar,"(34.3231945, -118.4087995)"
1850,106112,Sylmar,"(34.305005, -118.414298)"
1500,106113,Sylmar,"(34.3062, -118.42203)"
1239,106114,Sylmar,"(34.302675, -118.426951)"
1875,106403,Sylmar,"(34.306005, -118.441288)"
1263,106405,Sylmar,"(34.3146865, -118.448309)"
1733,106406,Sylmar,"(34.321542, -118.4587415)"
1302,106407,Sylmar,"(34.3105765, -118.4365505)"
1213,106408,Sylmar,"(34.3132585, -118.440082)"
1592,106510,Sylmar,"(34.3236325, -118.4860245)"
1818,106520,Sylmar,"(34.308856, -118.4613605)"
2731,106603,Granada Hills,"(34.3189225, -118.5218285)"
1339,106604,Sylmar,"(34.3042795, -118.474247)"
2481,106641,Granada Hills,"(34.298025, -118.509153)"
2981,106642,Granada Hills,"(34.2863475, -118.5084525)"
1967,106643,Granada Hills,"(34.289784, -118.524711)"
2566,106645,Granada Hills,"(34.2905125, -118.4928915)"
2250,106646,Granada Hills,"(34.2790905, -118.4941245)"
975,106648,Sylmar,"(34.293406, -118.4556035)"
1766,106649,Sylmar,"(34.288747, -118.4611105)"
1604,107010,Sylmar,"(34.302027, -118.446501)"
1618,107020,Sylmar,"(34.2975345, -118.4503905)"
3500,108101,Porter Ranch,"(34.280038, -118.5413715)"
2361,108102,Porter Ranch,"(34.280795, -118.55492)"
2284,108103,Porter Ranch,"(34.2860705, -118.542893)"
3196,108104,Porter Ranch,"(34.2939525, -118.5470515)"
2835,108201,Porter Ranch,"(34.2857885, -118.562083)"
1913,108202,Chatsworth,"(34.288396, -118.581814)"
1365,109100,Mission Hills,"(34.278731, -118.4610295)"
1913,109200,Granada Hills,"(34.2786785, -118.474608)"
2371,109300,Granada Hills,"(34.272521, -118.479515)"
1581,109400,Mission Hills,"(34.269881, -118.4552825)"
1423,109500,San Fernando,"(34.274036, -118.4444575)"
1952,109601,Mission Hills,"(34.2582765, -118.450367)"
1142,109603,Mission Hills,"(34.2536515, -118.465415)"
1409,109604,Mission Hills,"(34.2615535, -118.465347)"
2107,109700,Granada Hills,"(34.263394, -118.4810215)"
1665,109800,North Hills,"(34.2537535, -118.481817)"
1900,111100,Granada Hills,"(34.2683575, -118.4946735)"
2076,111201,Granada Hills,"(34.275029, -118.50855)"
1581,111202,Granada Hills,"(34.2683485, -118.5151565)"
3229,111204,Porter Ranch,"(34.2620495, -118.5490485)"
2181,111205,Northridge,"(34.253636, -118.5358265)"
1344,111206,Porter Ranch,"(34.2676425, -118.5361955)"
1405,111301,Granada Hills,"(34.2610855, -118.5158815)"
1429,111302,Northridge,"(34.2539425, -118.512829)"
1173,111400,Granada Hills,"(34.257483, -118.495412)"
2790,113101,Chatsworth,"(34.265338, -118.5882575)"
3315,113102,Chatsworth,"(34.265325, -118.568068)"
2244,113211,Chatsworth,"(34.2635755, -118.611966)"
1767,113212,Chatsworth,"(34.2608605, -118.6035245)"
1475,113213,Chatsworth,"(34.2535965, -118.608218)"
1455,113231,Chatsworth Reservoir,"(34.2282065, -118.645614)"
1932,113232,West Hills,"(34.227417, -118.61402)"
1187,113233,Canoga Park,"(34.2275575, -118.6017175)"
1180,113234,Canoga Park,"(34.227624, -118.59227)"
1695,113235,Chatsworth,"(34.2373915, -118.6488335)"
1674,113237,Chatsworth,"(34.2451855, -118.6125745)"
2198,113301,Northridge,"(34.2448005, -118.5590895)"
1063,113303,Chatsworth,"(34.2420235, -118.5801645)"
1353,113321,Chatsworth,"(34.25361, -118.5913535)"
1854,113322,Chatsworth,"(34.253622, -118.571362)"
1346,113401,Winnetka,"(34.2279845, -118.562301)"
1423,113421,Winnetka,"(34.234694, -118.5826685)"
1173,113422,Winnetka,"(34.224085, -118.5821745)"
1888,115101,Northridge,"(34.239435, -118.5112365)"
