Zip Code,Facilities
90028,498
90012,454
90045,440
90006,418
90036,365
90011,334
90015,331
90020,324
90027,305
90025,304
90005,298
90022,291
90026,289
90004,273
90003,273
90029,269
90019,266
90017,261
90001,259
90064,257
90037,250
90007,245
90033,244
90014,241
90013,238
90048,233
90024,220
90023,218
90057,213
90046,209
90038,198
90010,192
90044,191
90034,181
90035,179
90042,171
90066,166
90041,153
90016,144
90047,141
90071,140
90065,136
90067,132
90021,132
90039,126
90018,125
90049,117
90031,116
90032,112
90043,111
90008,96
90058,95
90061,91
90059,87
90062,71
90002,67
90068,49
90089,33
90069,28
90077,21
90291,14
90056,13
90040,13
90094,11
90095,6
