Zip Code,Median Rent 2016
90001,1026.56
90002,1063.87
90003,1065.03
90004,1239.13
90005,1139.79
90006,974.52
90007,1078.91
90008,1161.42
90010,1183.93
90011,987.5
90012,1219
90013,1208.71
90014,1195.4
90015,1018.62
90016,1165.81
90017,1018.85
90018,1051.78
90019,1285.38
90020,1244.59
90021,1059.25
90022,1014.7
90023,1077.74
90024,1986.69
90025,1817.21
90026,1189.71
90027,1315.25
90028,1278.84
90029,1116.35
90030,941
90031,1110.47
90032,1124.29
90033,953.71
90034,1606.5
90035,1864.43
90036,1787.15
90037,1084.81
90038,1189.44
90039,1441.83
90040,1072.91
90041,1446.83
90042,1299
90043,1094.15
90044,1012.59
90045,1701
90046,1764.45
90047,1114.64
90048,1793.55
90049,2314.61
90050,1315
90051,941
90052,1078
90053,1313
90054,941
90055,2023
90056,1567.29
90057,953.21
90058,1041.27
90059,1083.22
90060,941
90061,1095.65
90062,1054.92
90063,1021.24
90064,1865.2
90065,1200.11
90066,1673.46
90067,2081.33
90068,1576.33
90069,1847.14
90070,1643
90071,1214.5
90072,983
90073,1325
90074,2023
90075,1124
90076,1124
90077,2400.6
90078,1197
90079,2178
90081,2023
90082,945
90083,1775
90084,2023
90086,941
90087,941
90089,1598.67
90090,719
90091,997
90093,1197
90094,2504
90201,1118.88
90202,1115
90209,2236
90210,2403.5
90211,1908
90212,2114.17
90213,2236
90220,1162.77
90221,1139.21
90222,1137.07
90223,1067
90224,1149
90230,1612.31
90231,1785
90232,1521
90239,1163
90240,1446
90241,1334.64
90242,1257.18
90245,1844.6
90247,1122.33
90248,1213.74
90249,1226.36
90250,1220.74
90251,975
90254,1964.62
90255,1005.22
90260,1480
90261,2670
90262,1108.93
90263,2408
90264,3202
90265,2499.62
90266,2256.78
90267,2311
90270,986.6
90272,2738.71
90274,2819.64
90275,2549.67
90277,1894.67
90278,1819.08
90280,1065.34
90290,2770
90291,1886.36
90292,2178.29
90293,1909.75
90294,1805
90295,2575
90296,2111
90301,1113.18
90302,1274
90303,1151.77
90304,1086.42
90305,1295.33
90306,986
90307,986
90308,986
90309,986
90310,1318
90401,1594.17
90402,2045.14
90403,1811
90404,1514.88
90405,1655.25
90406,1878
90408,1714
90409,1674
90501,1491.58
90502,1326.4
90503,1878.17
90504,1454.25
90505,1856.14
90506,1484
90507,1198
90508,1198
90510,2544
90601,1441.79
90602,1209.71
90603,1650
90604,1422.64
90605,1362.73
90606,1393.55
90607,1371
90608,994
90609,1752
90623,2722
90630,1721
90631,2244.67
90637,1809
90638,1536.23
90639,1429
90640,1205.5
90650,1406.1
90651,588
90652,1237
90660,1352.67
90662,1131
90670,1303
90701,1896.17
90702,1438
90703,2007.39
90704,870
90706,1216.32
90707,1027
90710,1182.9
90711,1849
90712,1603.62
90713,1815.5
90714,1849
90715,1408.6
90716,1287.4
90717,1346.07
90723,1194.64
90731,1313.05
90732,1751.58
90733,1046
90734,1298
90744,1037.12
90745,1396.58
90746,1492
90747,1415
90748,1012
90749,1378
90755,1347.83
90801,903
90802,1136.5
90803,1469.5
90804,1330.18
90805,1167.44
90806,1074.11
90807,1309.89
90808,1817.2
90809,1416
90810,1215.71
90813,968.32
90814,1363.67
90815,1785.92
90831,1875
90832,1875
90833,1875
90834,1875
90835,1875
90840,2231
90844,1875
90846,2377
90853,1475
90895,1385
91001,1473.5
91003,1663
91006,1529.79
91007,1315.09
91008,1778
91009,1266
91010,1579.75
91011,2132.4
91012,2343
91016,1520.36
91017,1288
91020,1673.75
91021,1428
91024,1815.25
91025,1480
91030,1697.5
91031,1478
91040,1492.25
91041,954
91042,1539.5
91043,1141
91046,1412
91066,1489
91077,1422
91101,1467.11
91102,1178
91103,1582.5
91104,1300.36
91105,2174.5
91106,1758.56
91107,1608.57
91108,2458
91109,1178
91114,1232
91115,2439
91116,1632
91117,2263
91118,3500
91121,2263
91123,2439
91124,1427
91125,1535
91126,1535
91129,2439
91182,1728
91184,2439
91185,1269
91188,1427
91189,1922
91199,1427
91201,1820.75
91202,1694.44
91203,1342.5
91204,1294.3
91205,1250.71
91206,1677.18
91207,1700
91208,1740.5
91209,1187
91210,1674
91214,1885.88
91221,1237
91222,1570
91224,1682
91225,1178
91226,1333
91301,2375.71
91302,2449.1
91303,1381.55
91304,1710.63
91305,1094
91306,1243.92
91307,2341.2
91308,2618
91309,1094
91311,1832.47
91313,1475
91316,1873.55
91321,1613.62
91322,1298
91324,1643
91325,1555.12
91326,2497.36
91327,2361
91328,1423
91329,1760
91330,1577
91331,1385.57
91333,1356
91334,1363
91335,1379.44
91337,1197
91340,1447.67
91341,1175
91342,1518.21
91343,1461.29
91344,2031.94
91345,1462.56
91346,1581
91350,1966.31
91351,1558.67
91352,1394.95
91353,1109
91354,1828.56
91355,1773.87
91356,2024.27
91357,1183
91361,2339
91362,2633
91364,2309.7
91365,2630
91367,2328.12
91371,1935
91372,2208
91376,1911
91380,1467
91381,2073
91383,1061
91384,1945.14
91385,1448
91386,1793
91387,1879.5
91390,1957.2
91392,1239
91393,1107
91394,1405
91395,1142
91396,1149
91401,1264.28
91402,1190.91
91403,1728.17
91404,1095
91405,1107.44
91406,1271.19
91407,1095
91408,1095
91409,1104
91411,1197.38
91412,1156
91413,1539
91416,1524
91423,1707.77
91426,1524
91436,2395
91470,1104
91482,1104
91495,1539
91496,1539
91501,1749.62
