Zip Code,Violation Count
90012,10741
90020,10520
90028,10410
90006,9583
90005,9197
90045,8533
90036,8033
90027,7772
90015,7653
90025,7160
90019,6691
90024,6627
90004,6295
90022,6207
90026,6170
90029,5869
90048,5774
90011,5738
90035,5516
90010,5376
90064,5282
90046,5116
90033,5020
90017,4814
90003,4737
90037,4615
90057,4516
90001,4328
90007,4262
90034,4037
90014,3873
90038,3837
90013,3787
90042,3754
90041,3643
90023,3520
90063,3444
90039,3439
90044,3304
90016,3286
90065,3118
90066,3083
90067,2615
90047,2492
90018,2460
90032,2454
90049,2364
90071,2283
90043,2255
90031,2183
90021,1977
90008,1807
90058,1515
90061,1379
90068,1302
90059,1189
90062,1152
90002,859
90069,692
90089,645
90077,504
90291,286
90040,215
90056,212
90094,169
90054,144
90230,134
91604,111
90079,82
90095,79
90052,71
90030,46
90103,46
90723,44
90211,42
90232,35
90293,31
90272,28
91367,24
90292,24
91325,23
90921,20
90070,19
91601,18
92880,18
91324,15
90220,15
91602,14
91006,10
90051,6
91326,4
91340,4
91505,2
91307,1
90222,1
90201,1
